INU00061,IN01502,IN00833,IN04673,IN00641,IN00061,IN00062,IN00063,,,,
INU00062,IN00643,IN00641,IN04673,IN04501,IN01411,IN00061,IN00062,IN00063,,,
INU00063,IN01503,IN01502,IN04501,IN00891,IN01132,IN00061,IN00062,IN00063,,,
INU00101,IN01821,IN04672,IN00832,IN00101,IN00102,IN00103,,,,,
INU00102,IN01043,IN01297,IN01299,IN00547,IN00101,IN00102,IN00103,,,,
INU00103,IN01821,IN01822,IN00101,IN00102,IN00103,,,,,,
INU00141,IN04752,IN01032,IN00713,IN01801,IN00141,IN00142,IN00143,,,,
INU00142,IN00141,IN00142,IN00143,,,,,,,,
INU00143,IN04753,IN04441,IN01301,IN01283,IN00141,IN00142,IN00143,,,,
INU00151,IN02671,IN02133,IN02131,IN00463,IN01952,IN01953,IN00151,IN00152,IN00153,,
INU00152,IN02133,IN02671,IN02672,IN02673,IN02171,IN03252,IN00151,IN00152,IN00153,,
INU00153,IN02673,IN00303,IN02171,IN03252,IN03251,IN00952,IN03268,IN03263,IN00151,IN00152,IN00153
INU00171,IN00331,IN00332,IN02693,IN02692,IN00791,IN03488,IN00171,IN00172,IN00173,,
INU00172,IN02692,IN00171,IN00172,IN00173,,,,,,,
INU00173,IN00332,IN02693,IN00701,IN00171,IN00172,IN00173,,,,,
INU00181,IN01212,IN01772,,,,,,,,,
INU00182,IN01011,IN04717,IN04718,IN04719,,,,,,
INU00183,IN01212,IN00782,IN02631,IN01011,,,,,,
INU00241,IN04143,IN04142,IN01042,IN01773,IN00241,IN00242,IN00243,,,
INU00242,IN01647,IN01641,IN01648,IN01642,IN04142,IN00681,IN00981,IN00241,IN00242,IN00243
INU00243,IN04143,IN02722,IN01231,IN00241,IN00242,IN00243,,,,
INU00301,IN00823,IN02132,IN02672,IN00301,IN00302,IN00303,,,,
INU00302,IN02172,IN01963,IN01173,IN00811,IN00813,IN00301,IN00302,IN00303,,
INU00303,IN02672,IN02671,IN02171,IN02172,IN00051,IN00813,IN00811,IN00301,IN00302,IN00303
INU00311,IN04742,IN01802,IN01233,IN00311,IN00312,IN00313,,,,
INU00312,IN01911,IN04731,IN01913,IN03301,IN00311,IN00312,IN00313,,,
INU00313,IN03301,IN00621,IN01913,IN00311,IN00312,IN00313,,,,
INU00321,IN01853,IN01112,IN01113,IN03292,IN00432,IN00321,IN00322,IN00323,,
INU00322,IN01951,IN00461,IN01373,IN01853,IN00321,IN00322,IN00323,,,
INU00323,IN03292,IN00942,IN01951,IN00321,IN00322,IN00323,,,,
INU00331,IN00683,IN00331,IN00332,IN00333,,,,,,
INU00332,IN01263,IN00173,IN00701,IN00331,IN00332,IN00333,,,,
INU00333,IN01911,IN00701,IN00331,IN00332,IN00333,,,,
INU00381,IN00141,IN01032,IN00542,IN00381,IN00382,IN00383,,,
INU00382,IN01231,IN00712,IN01233,IN04742,IN00381,IN00382,IN00383,,
INU00383,IN00381,IN00382,IN00383,,,,,,
INU00461,IN01952,IN00322,IN00461,IN00462,IN00463,,,,
INU00462,IN02131,IN02132,IN00461,IN00462,IN00463,,,,
INU00463,IN01952,IN02131,IN02133,IN02671,IN00461,IN00462,IN00463,,
INU00511,IN00511,IN00512,IN00513,,,,,,
INU00512,IN01117,IN03277,IN03279,IN03273,IN02632,IN00511,IN00512,IN00513,
INU00513,IN03277,IN03279,IN01111,IN00012,IN01342,IN00511,IN00512,IN00513,
INU00541,IN01822,IN01828,IN00109,IN00102,IN01297,IN01299,IN00541,IN00542,IN00543
INU00542,IN01032,IN01038,IN00713,IN00711,IN01299,IN00541,IN00542,IN00543,
INU00543,IN01031,IN01032,IN00713,IN00541,IN00542,IN00543,,,
INU00561,IN01491,IN01372,IN01023,IN01022,IN00191,IN00193,IN00561,IN00562,IN00563
INU00562,IN01171,IN01962,IN01492,IN00561,IN00562,IN00563,,,
INU00563,IN01492,IN00561,IN00562,IN00563,,,,,
INU00621,IN00402,IN04743,IN00313,IN00621,IN00622,IN00623,,
INU00622,IN00313,IN00621,IN00622,IN00623,,,,
INU00623,IN00621,IN00622,IN00623,,,,,
INU00641,IN00062,IN04673,IN01823,IN00641,IN00642,IN00643,,
INU00642,IN01411,IN01823,IN00641,IN00642,IN00643,,,
INU00643,IN00062,IN04501,IN01411,IN00641,IN00642,IN00643,,
INU00681,IN01642,IN00242,IN01042,IN00981,IN00681,IN00682,IN00683,
INU00682,IN03487,IN03489,IN00331,IN00681,IN00682,IN00683,,
INU00683,IN03489,IN03483,IN00031,IN00642,IN00242,IN00681,IN00682,IN00683
INU00711,IN00542,IN01032,IN02728,IN02722,IN00711,IN00712,IN00713,
INU00712,IN00382,IN02722,IN01231,IN00711,IN00712,IN00713,,
INU00713,IN00542,IN01032,IN01801,IN00711,IN00712,IN00713,,
INU00781,IN02692,IN01213,IN01212,IN00781,IN00782,IN00783,,
INU00782,IN02631,IN01212,IN00781,IN00782,IN00783,,,
INU00783,IN00781,IN00782,IN00783,,,,,
INU00791,IN00781,IN01213,IN02692,IN00791,IN00792,IN00793,,
INU00792,IN00781,IN02692,IN00791,IN00792,IN00793,,,
INU00793,IN00791,IN00792,IN00793,,,,,
INU00821,IN01183,IN02131,IN02132,IN00462,IN00821,IN00822,IN00823,
INU00822,IN01183,IN01493,IN01961,IN00301,IN02132,IN00821,IN00822,IN00823
INU00823,IN02131,IN02132,IN02133,IN00301,IN02672,IN00821,IN00822,IN00823
INU00831,IN01501,IN00831,IN00832,IN00833,,,,
INU00832,IN04672,IN00923,IN03213,IN00831,IN00832,IN00833,,
INU00833,IN01502,IN01501,IN04671,IN00061,IN01402,IN00831,IN00832,IN00833
INU00941,IN00323,IN03292,IN03293,IN00432,IN00941,IN00942,IN00943,
INU00942,IN00321,IN00323,IN01951,IN01953,IN03261,IN00941,IN00942,IN00943
INU00943,IN01971,IN00842,IN00941,IN00942,IN00943,,,
INU00981,IN01042,IN04142,IN00681,IN00981,IN00982,IN00983,,
INU00982,IN00791,IN00781,IN01213,IN01211,IN00981,IN00982,IN00983,
INU00983,IN03487,IN03488,IN00981,IN00982,IN00983,,,
INU01011,IN02631,IN00782,IN01212,IN04719,IN02632,IN01011,IN01012,IN01013
INU01012,IN04718,IN01121,IN01122,IN01011,IN01012,IN01013,,
INU01013,IN01121,IN03271,IN01123,IN01011,IN01012,IN01013,,,
INU01021,IN01121,IN01122,IN01123,IN00093,IN01923,IN01021,IN01022,IN01023,
INU01022,IN00561,IN01122,IN01021,IN01022,IN01023,,,,
INU01023,IN01372,IN01181,IN00561,IN01021,IN01022,IN01023,,,
INU01031,IN01411,IN00642,IN00543,IN01031,IN01032,IN01033,,,
INU01032,IN00543,IN00713,IN04752,IN00147,IN01801,IN01031,IN01032,IN01033,
INU01033,IN04751,IN04752,IN01411,IN00642,IN01031,IN01032,IN01033,,
INU01041,IN01041,IN01042,IN01043,,,,,,
INU01042,IN04141,IN04142,IN00681,IN00981,IN01041,IN01042,IN01043,,
INU01043,IN04141,IN00102,IN01041,IN01042,IN01043,,,,
INU01111,IN03279,IN00012,IN00513,IN01111,IN01112,IN01113,,,
INU01112,IN03279,IN01851,IN01853,IN00321,IN01111,IN01112,IN01113,,
INU01113,IN03291,IN03292,IN03293,IN00432,IN00941,IN00321,IN01111,IN01112,IN01113
INU01121,IN01021,IN04718,IN01018,IN01013,IN01121,IN01122,IN01123,,
INU01122,IN04718,IN01021,IN01121,IN01122,IN01123,,,,
INU01123,IN01021,IN01121,IN01122,IN01123,,,,,
INU01171,IN01962,IN00563,IN00562,IN03743,IN03741,IN01171,IN01172,IN01173,,
INU01172,IN00811,IN00812,IN00193,IN00192,IN00471,IN01171,IN01172,IN01173,,
INU01173,IN00811,IN00051,IN02172,IN00302,IN01963,IN01962,IN01171,IN01172,IN01173,
INU01181,IN01491,IN01023,IN01372,IN01373,IN01181,IN01182,IN01183,,,
INU01182,IN00822,IN01491,IN01493,IN01181,IN01182,IN01183,,,,
INU01183,IN01493,IN00822,IN00821,IN01181,IN01182,IN01183,,,,
INU01211,IN02692,IN00082,IN01211,IN01212,IN01213,,,,,
INU01212,IN00782,IN04202,IN02631,IN01211,IN01212,IN01213,,,,
INU01213,IN04203,IN00982,IN02692,IN00791,IN00781,IN00782,IN02631,IN01211,IN01212,IN01213
INU01231,IN00382,IN00712,IN02722,IN01641,IN01231,IN01232,IN01233,,,
INU01232,IN00311,IN01641,IN01231,IN01232,IN01233,,,,,
INU01233,IN00382,IN01802,IN00311,IN04742,IN01231,IN01232,IN01233,,,
INU01261,IN01261,IN01262,IN01263,,,,,,,
INU01262,IN01421,IN01261,IN01262,IN01263,,,,,,
INU01263,IN00351,IN00701,IN00332,IN01261,IN01262,IN01263,,,,
INU01291,IN00102,IN01043,IN04141,IN04143,,,,,,
INU01292,IN04143,IN04141,IN01043,,,,,,
INU01293,IN00541,IN00542,IN00711,,,,,,
INU01371,IN01123,IN01023,IN02648,IN02649,IN01371,IN01372,IN01373,,
INU01372,IN01021,IN01023,IN01181,IN01371,IN01372,IN01373,,,
INU01373,IN02648,IN02649,IN01181,IN00461,IN00322,IN01852,IN01371,IN01372,IN01373
INU01411,IN00643,IN00642,IN01033,IN04751,IN01411,IN01412,IN01413,,
INU01412,IN01281,IN04751,IN01033,IN01288,IN04508,IN04502,IN01411,IN01412,IN01413
INU01413,IN04502,IN01281,IN01411,IN01412,IN01413,,,,
INU01491,IN01181,IN01372,IN01023,IN00561,IN01491,IN01492,IN01493,,
INU01492,IN01961,IN00563,IN00561,IN01491,IN01492,IN01493,,,
INU01493,IN00822,IN01961,IN00563,IN01491,IN01492,IN01493,,,
INU01501,IN00831,IN00833,IN01501,IN01502,IN01503,,,,
INU01502,IN00061,IN00063,IN00833,IN00831,IN04673,IN01501,IN01502,IN01503,
INU01503,IN00063,IN01501,IN01502,IN01503,,,,,
INU01641,IN01237,IN02722,IN00243,IN01641,IN01642,IN01643,,,
INU01642,IN00242,IN00683,IN00331,IN01641,IN01642,IN01643,,,
INU01643,IN01641,IN01642,IN01643,,,,,,,
INU01801,IN00713,IN01032,IN01801,IN01802,IN01803,,,,,
INU01802,IN04742,IN01233,IN00311,IN01801,IN01802,IN01803,,,,
INU01803,IN00141,IN01032,IN00713,IN01801,IN01802,IN01803,,,,
INU01821,IN00641,IN04672,IN00922,IN00923,IN00101,IN03213,IN00983,IN01821,IN01822,IN01823
INU01822,IN00103,IN00102,IN00547,IN00541,IN01821,IN01822,IN01823,,,
INU01823,IN04397,IN01411,IN00642,IN00641,IN01821,IN01822,IN01823,,,
INU01851,IN01112,IN01851,IN01852,IN01853,,,,,,
INU01852,IN00461,IN00322,IN01851,IN01852,IN01853,,,,,
INU01853,IN00321,IN00322,IN01112,IN01851,IN01852,IN01853,,,,
INU01911,IN01911,IN01912,IN01913,,,,,,,
INU01912,IN00031,IN00031,IN02061,IN00703,IN00701,IN01911,IN01912,IN01913,,
INU01913,IN00031,IN03301,IN00313,IN00312,IN01911,IN01912,IN01913,,,
INU01951,IN00322,IN00461,IN00323,IN01951,IN01952,IN01953,,,,
INU01952,IN00151,IN02671,IN02133,IN02131,IN00463,IN01951,IN01952,IN01953,,
INU01953,IN00943,IN00942,IN00151,IN01951,IN01952,IN01953,,,,
INU01961,IN00822,IN01182,IN01492,IN00563,IN01171,IN01961,IN01962,IN01963,,
INU01962,IN00302,IN00811,IN01173,IN01171,IN00562,IN01961,IN01962,IN01963,,
INU01963,IN02172,IN00051,IN00811,IN01173,IN00302,IN01961,IN01962,IN01963,,
INU02631,IN00782,IN01212,IN01011,IN02631,IN02632,IN02633,,,,
INU02632,IN01011,IN01013,IN02631,IN02632,IN02633,,,,,
INU02633,IN00789,IN00788,IN02631,IN02632,IN02633,,,,,
INU02641,IN01851,IN01013,IN01121,IN01123,IN02647,IN02648,IN02649,,,
INU02642,IN02647,IN02648,IN02649,IN01123,IN01122,IN01021,IN01023,IN01371,IN01372,IN01373
INU02643,IN02647,IN02648,IN02649,IN01373,IN00461,IN00322,IN01853,,,
INU02691,IN03487,IN03488,IN00981,IN00982,IN02691,IN02692,IN02693,,,
INU02692,IN00791,IN00781,IN01213,IN01211,IN00982,IN02691,IN02692,IN02693,,
INU02693,IN03487,IN03489,IN00171,IN02691,IN02692,IN02693,,,,
INU02721,IN01292,IN04143,IN00243,IN01641,IN02721,IN02722,IN02723,,,
INU02722,IN00712,IN00382,IN01641,IN00243,IN02721,IN02722,IN02723,,,
INU02723,IN00542,IN00712,IN02721,IN02722,IN02723,,,,,
INU03261,IN00151,IN01971,IN00943,IN01953,,,,,,
INU03262,IN03251,IN03252,IN00153,IN00151,IN01959,,,,
INU03263,IN03251,IN03253,IN00872,IN00952,IN01973,IN01972,IN00671,,
INU03271,IN00512,IN00513,,,,,,,
INU03272,IN00512,IN01013,IN01121,IN01123,IN03277,IN03278,IN03279,IN01852,IN01851
INU03273,IN03277,IN03278,IN03279,IN01111,IN00513,IN01112,IN01851,IN01853,
INU03481,IN00981,IN00681,IN04142,,,,,,
INU03482,IN00981,IN00171,IN00332,,,,,,
INU03483,IN00683,IN00331,IN00332,IN00173,IN00171,IN02693,,,
INU04402,IN02633,IN00782,,,,,,,
INU04403,IN01343,,,,,,,,
INU04451,IN00823,IN00301,IN04451,IN04452,IN04453,,,,
INU04452,IN00563,IN01961,IN01493,IN00822,IN04451,IN04452,IN04453,,
INU04453,IN01963,IN00302,IN00301,IN04451,IN04452,IN04453,,,
INU04621,IN01643,IN01642,IN00683,,,,,,
INU04622,IN00331,IN00683,IN01911,,,,,,
INU04623,IN00311,IN01232,,,,,,,
INU04661,IN01373,IN00461,IN01181,IN04661,IN04662,IN04663,,
INU04662,IN01181,IN01183,IN00821,IN04661,IN04662,IN04663,,
INU04663,IN02131,IN00463,IN00462,IN00827,IN00873,IN04661,IN04662,IN04663
INU04671,IN00061,IN01502,IN01501,IN00833,IN04671,IN04672,IN04673,
INU04672,IN00641,IN01821,IN04671,IN04672,IN04673,,,
INU04673,IN00061,IN00062,IN00641,IN01502,IN04671,IN04672,IN04673,
INU04691,IN01298,IN01299,IN00542,,,,,
INU04692,IN01298,IN00249,IN04143,,,,,
